franchise_id,season,season_source,template,completeness,name_raw,name_order,birth_year_2digit,age,approx_birth_year,tier,candidate_ids,candidate_names,already_has_season_row,note,disposition,disposition_note
santeros_aguada,2016,year_param,flat_bo,full,Abreu Alex,surname_first,91,,,1_exact_birth_confirmed,12998,"Abreu Vazquez, Alex",yes,"exact_name, birth year agrees",confirmed_match,"owner accepted 2026-09-14, exact- or approx-birth-year tier, single agreeing candidate"
santeros_aguada,2016,year_param,flat_bo,full,Behanan Chane,surname_first,92,,,1_exact_birth_confirmed,13089,"Behanan, Chane",no,"exact_name, birth year agrees",confirmed_match,"owner accepted 2026-09-14, exact- or approx-birth-year tier, single agreeing candidate"
santeros_aguada,2016,year_param,flat_bo,full,Belardo Gabriel,surname_first,89,,,1_exact_birth_confirmed,2815,"Belardo Del Rio, Gabriel J.",yes,"exact_name, birth year agrees",confirmed_match,"owner accepted 2026-09-14, exact- or approx-birth-year tier, single agreeing candidate"
santeros_aguada,2016,year_param,flat_bo,full,Byars Derrick,surname_first,84,,,1_exact_birth_confirmed,2867,"Byars, Derrick",no,"exact_name, birth year agrees",confirmed_match,"owner accepted 2026-09-14, exact- or approx-birth-year tier, single agreeing candidate"
santeros_aguada,2016,year_param,flat_bo,full,Clavell Gilberto,surname_first,89,,,1_exact_birth_confirmed,2701,"Clavell, Gilberto",yes,"exact_name, birth year agrees",confirmed_match,"owner accepted 2026-09-14, exact- or approx-birth-year tier, single agreeing candidate"
santeros_aguada,2016,year_param,flat_bo,full,Cruz Solla Jose,surname_first,92,,,1_exact_birth_confirmed,13081,"Cruz Solla, Jose L.",no,"exact_name, birth year agrees",confirmed_match,"owner accepted 2026-09-14, exact- or approx-birth-year tier, single agreeing candidate"
santeros_aguada,2016,year_param,flat_bo,full,De Jesus Jezreel,surname_first,91,,,1_exact_birth_confirmed,2823,"De Jesús, Jezreel",no,"exact_name, birth year agrees",confirmed_match,"owner accepted 2026-09-14, exact- or approx-birth-year tier, single agreeing candidate"
santeros_aguada,2016,year_param,flat_bo,full,Fernandez Tjader,surname_first,94,,,1_exact_birth_confirmed,13079,"Fernandez Garcia, Tjader",yes,"exact_name, birth year agrees",confirmed_match,"owner accepted 2026-09-14, exact- or approx-birth-year tier, single agreeing candidate"
santeros_aguada,2016,year_param,flat_bo,full,Guitian Jose,surname_first,87,,,1_exact_birth_confirmed,2565,"Guitian Alicea, Jose",yes,"exact_name, birth year agrees",confirmed_match,"owner accepted 2026-09-14, exact- or approx-birth-year tier, single agreeing candidate"
santeros_aguada,2016,year_param,flat_bo,full,Hernandez Luis,surname_first,88,,,1_exact_birth_confirmed,2637,"Hernandez Matias, Luis",yes,"exact_name, birth year agrees",confirmed_match,"owner accepted 2026-09-14, exact- or approx-birth-year tier, single agreeing candidate"
santeros_aguada,2016,year_param,flat_bo,full,Martinez Carlos,surname_first,88,,,1_exact_birth_confirmed,2588,"Martinez, Carlos",yes,"exact_name, birth year agrees",confirmed_match,"owner accepted 2026-09-14, exact- or approx-birth-year tier, single agreeing candidate"
santeros_aguada,2016,year_param,flat_bo,full,Matos Jorge,surname_first,92,,,1_exact_birth_confirmed,13082,"Matos Nieves, Jorge L.",yes,"exact_name, birth year agrees",confirmed_match,"owner accepted 2026-09-14, exact- or approx-birth-year tier, single agreeing candidate"
santeros_aguada,2016,year_param,flat_bo,full,Mendoza Rigoberto,surname_first,92,,,1_exact_birth_confirmed,13050,"Mendoza De la Rosa, Rigoberto",no,"exact_name, birth year agrees",confirmed_match,"owner accepted 2026-09-14, exact- or approx-birth-year tier, single agreeing candidate"
santeros_aguada,2016,year_param,flat_bo,full,Portalatin Wayne,surname_first,87,,,1_exact_birth_confirmed,2735,"Portalatin, Wayne",no,"exact_name, birth year agrees",confirmed_match,"owner accepted 2026-09-14, exact- or approx-birth-year tier, single agreeing candidate"
santeros_aguada,2017,capture_year,flat_age,full,Gilberto Clavell,given_first,,28,1989,2_approx_birth_confirmed,2701,"Clavell, Gilberto",yes,"exact_name, birth year agrees (source ~1989, canon 1989, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, exact- or approx-birth-year tier, single agreeing candidate"
santeros_aguada,2017,capture_year,flat_age,full,Jorge Matos,given_first,,25,1992,2_approx_birth_confirmed,13082,"Matos Nieves, Jorge L.",yes,"exact_name, birth year agrees (source ~1992, canon 1992, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, exact- or approx-birth-year tier, single agreeing candidate"
santeros_aguada,2017,capture_year,flat_age,full,Matt Lopez,given_first,,25,1992,2_approx_birth_confirmed,12939,"Lopez, Matt",yes,"exact_name, birth year agrees (source ~1992, canon 1992, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, exact- or approx-birth-year tier, single agreeing candidate"
santeros_aguada,2017,capture_year,flat_age,full,Raul Orta,given_first,,32,1985,2_approx_birth_confirmed,1946,"Orta, Raul",yes,"exact_name, birth year agrees (source ~1985, canon 1985, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, exact- or approx-birth-year tier, single agreeing candidate"
santeros_aguada,2017,capture_year,flat_age,full,Tjader Fernandez,given_first,,23,1994,2_approx_birth_confirmed,13079,"Fernandez Garcia, Tjader",yes,"exact_name, birth year agrees (source ~1994, canon 1994, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, exact- or approx-birth-year tier, single agreeing candidate"
santeros_aguada,2018,capture_year,widget,full,Ansel Guzman,given_first,,34,1984,2_approx_birth_confirmed,158,"Guzman Hernaiz, Ansel M",no,"exact_name, birth year agrees (source ~1984, canon 1984, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, exact- or approx-birth-year tier, single agreeing candidate"
santeros_aguada,2018,capture_year,widget,full,Carlos Emory,given_first,,26,1992,2_approx_birth_confirmed,2838,"Emory, Carlos",yes,"exact_name, birth year agrees (source ~1992, canon 1991, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, exact- or approx-birth-year tier, single agreeing candidate"
