original_url,timestamp,statuscode,mimetype,digest,endpoint,anio,query,parametrized
http://bsnpr.com/estadisticas/campeonatos.asp,20131203040354,-,warc/revisit,D36LGLVKAPAA5E7AQMEKZTMAH3UEAPOX,campeonatos.asp,,,no
http://bsnpr.com/estadisticas/campeonatos.asp,20141109232525,-,warc/revisit,D36LGLVKAPAA5E7AQMEKZTMAH3UEAPOX,campeonatos.asp,,,no
http://bsnpr.com/estadisticas/campeonatos.asp,20141129122409,-,warc/revisit,D36LGLVKAPAA5E7AQMEKZTMAH3UEAPOX,campeonatos.asp,,,no
http://bsnpr.com/estadisticas/campeonatos.asp,20160303175942,302,text/html,D36LGLVKAPAA5E7AQMEKZTMAH3UEAPOX,campeonatos.asp,,,no
http://bsnpr.com/estadisticas/campeonatos.asp,20160307071223,-,warc/revisit,D36LGLVKAPAA5E7AQMEKZTMAH3UEAPOX,campeonatos.asp,,,no
http://bsnpr.com/estadisticas/campeonatos.asp,20160826172202,-,warc/revisit,D36LGLVKAPAA5E7AQMEKZTMAH3UEAPOX,campeonatos.asp,,,no
http://bsnpr.com/estadisticas/campeonatos.asp,20250125120140,301,text/html,OM6ALWQTEGJ5NTY5RYSC2EXCKJOAHOVU,campeonatos.asp,,,no
http://bsnpr.com/estadisticas/index.asp,20241214070402,301,text/html,OM6ALWQTEGJ5NTY5RYSC2EXCKJOAHOVU,index.asp,,,no
http://bsnpr.com/estadisticas/index.asp?serie=1&liga=1&anio=2009,20110708102142,302,text/html,6Y4D4GBJXTCXCBVAHDPUXXERZLE4GSOE,index.asp,2009,serie=1&liga=1&anio=2009,yes
http://bsnpr.com/estadisticas/index.asp?serie=1&liga=1&anio=2009,20110807034224,302,text/html,6Y4D4GBJXTCXCBVAHDPUXXERZLE4GSOE,index.asp,2009,serie=1&liga=1&anio=2009,yes
http://bsnpr.com/estadisticas/index.asp?serie=1&liga=1&anio=2009,20110926230008,302,text/html,6Y4D4GBJXTCXCBVAHDPUXXERZLE4GSOE,index.asp,2009,serie=1&liga=1&anio=2009,yes
http://bsnpr.com/estadisticas/index.asp?serie=1&liga=1&anio=2009,20120303040154,302,text/html,6Y4D4GBJXTCXCBVAHDPUXXERZLE4GSOE,index.asp,2009,serie=1&liga=1&anio=2009,yes
http://bsnpr.com/estadisticas/index.asp?serie=1&liga=1&anio=2009,20160304023332,302,text/html,OWXW54ASLLZ6EI7DQRMZNAYOJLFSU6KU,index.asp,2009,serie=1&liga=1&anio=2009,yes
http://bsnpr.com/estadisticas/index.asp?serie=1&liga=1&anio=2009,20231104212707,302,text/html,AGOFBETXMVUYSBXZ24GLLXEFNQTJNECQ,index.asp,2009,serie=1&liga=1&anio=2009,yes
http://bsnpr.com/estadisticas/index.asp?serie=1&liga=1&anio=2009,20241214093016,301,text/html,OM6ALWQTEGJ5NTY5RYSC2EXCKJOAHOVU,index.asp,2009,serie=1&liga=1&anio=2009,yes
http://bsnpr.com/estadisticas/lideres.asp,20241224023956,301,text/html,OM6ALWQTEGJ5NTY5RYSC2EXCKJOAHOVU,lideres.asp,,,no
http://bsnpr.com/estadisticas/lideres.asp?anio=2013&grupo=bs26&liga=1&serie=1&vida=2,20160308121304,302,text/html,ILC27GFRC3BFXZKTXJUB6525RAE25WNB,lideres.asp,2013,anio=2013&grupo=bs26&liga=1&serie=1&vida=2,yes
http://bsnpr.com/estadisticas/lideres.asp?grupo=BS26&serie=1&liga=1&anio=2010&vida=2,20110708102042,302,text/html,X7KDOYTTYKOVS5W2PSLBZ32E65EWK2MF,lideres.asp,2010,grupo=BS26&serie=1&liga=1&anio=2010&vida=2,yes
http://bsnpr.com/estadisticas/lideres.asp?grupo=BS26&serie=1&liga=1&anio=2010&vida=2,20160411021109,200,text/html,7JSQAE2NNMWH42NUXO5UOQUC5CWSUAK7,lideres.asp,2010,grupo=BS26&serie=1&liga=1&anio=2010&vida=2,yes
http://bsnpr.com/estadisticas/lideres.asp?grupo=BS26&serie=1&liga=1&anio=2013&vida=2,20160303225804,302,text/html,VN3O3SDFRQPKMBUACNDSD73YQBA5SG2Y,lideres.asp,2013,grupo=BS26&serie=1&liga=1&anio=2013&vida=2,yes
http://bsnpr.com/estadisticas/lideres.asp?grupo=BS26&serie=1&liga=1&anio=2013&vida=2,20161127024845,302,text/html,VN3O3SDFRQPKMBUACNDSD73YQBA5SG2Y,lideres.asp,2013,grupo=BS26&serie=1&liga=1&anio=2013&vida=2,yes
http://bsnpr.com/estadisticas/lideres.asp?grupo=BS26&serie=1&liga=1&anio=2013&vida=2,20241224030138,301,text/html,OM6ALWQTEGJ5NTY5RYSC2EXCKJOAHOVU,lideres.asp,2013,grupo=BS26&serie=1&liga=1&anio=2013&vida=2,yes
http://bsnpr.com/estadisticas/posiciones.asp,20140726065615,302,text/html,VRXHE47BWCM3WCH5ECF66X7KHYLVJTJT,posiciones.asp,,,no
http://bsnpr.com:80/estadisticas.asp,20021224120054,200,text/html,WEZ7YVAX2AOFJ4WM4LOYNH5BZYGLZOMC,other,,,no
http://bsnpr.com:80/estadisticas.asp,20030425232354,200,text/html,6JJQ6WCOOMZ4KKNYBLDNDTON7KLVNT27,other,,,no
http://bsnpr.com:80/estadisticas.asp,20030610163214,200,text/html,SWC2KNAEFR5QIOFV5MVVBM3EJBFNXDZW,other,,,no
http://bsnpr.com:80/estadisticas.asp?t=3,20010803075616,200,text/html,U6X6L4QOM54Q64QX6JDSEIM4W4J66P6O,other,,t=3,yes
http://bsnpr.com:80/estadisticas.asp?t=3,20030416012335,200,text/html,WEZ7YVAX2AOFJ4WM4LOYNH5BZYGLZOMC,other,,t=3,yes
