bsnpr_id,old_season,new_season,capture_date,source_url,team_raw,games,points
4,2005,2006,2006-09-17,https://web.archive.org/web/20060917070037id_/http://www.bsnpr.com:80/jug05.asp?r2=NFGFOVGUNE&r3=3532+&r=00034&e=ARECIBO,BAYAMON,24,211
35,2005,2006,2006-12-08,https://web.archive.org/web/20061208064347id_/http://www.bsnpr.com:80/jug05.asp?r3=00112&r2=462786RX3B&r=00102&e=,GUAYNABO,20,21
37,2005,2006,2006-12-12,https://web.archive.org/web/20061212190415id_/http://www.bsnpr.com:80/jug05.asp?r3=00145&r2=462736RX0S&r=00025&e=,BAYAMON,13,253
49,2005,2006,2006-11-19,https://web.archive.org/web/20061119230859id_/http://www.bsnpr.com/jug05.asp?r2=462686RWYN&r3=00053&r=00545&e=CAGUAS,CAGUAS,7,6
74,2005,2006,2006-11-19,https://web.archive.org/web/20061119230826id_/http://www.bsnpr.com/jug05.asp?r2=NFGFOVGUNE&r3=EDWFK&r=00034&e=ARECIBO,BAYAMON,24,211
81,2005,2006,2007-04-04,https://web.archive.org/web/20070404012113id_/http://www.bsnpr.com:80/jug05.asp?r3=QSBVQ&r2=QQRXUFBMBV&r=00029&e=,SAN GERMAN,31,333
86,2005,2006,2007-04-04,https://web.archive.org/web/20070404072946id_/http://www.bsnpr.com:80/jug05.asp?r3=QRJGN&r2=WCPCJDEPGL&r=00542&e=,COAMO,13,40
87,2005,2006,2006-07-13,https://web.archive.org/web/20060713002107id_/http://www.bsnpr.com:80/jug05.asp?r=00052,CAGUAS,20,131
93,2005,2006,2006-11-19,https://web.archive.org/web/20061119230228id_/http://www.bsnpr.com/jug05.asp?r2=462746RX1G&r3=00178&r=00541&e=GUAYAMA,GUAYAMA,22,50
118,2005,2006,2007-04-04,https://web.archive.org/web/20070404080846id_/http://www.bsnpr.com:80/jug05.asp?r3=00032&r2=462676RWYA&r=00120&e=,SAN GERMAN,10,58
120,2005,2006,2006-11-19,https://web.archive.org/web/20061119230941id_/http://www.bsnpr.com/jug05.asp?r2=462736RX0U&r3=00147&r=00064&e=CAGUAS,CAGUAS,26,246
121,2005,2006,2006-11-19,https://web.archive.org/web/20061119231107id_/http://www.bsnpr.com/jug05.asp?r2=FVGQJLPHGG&r3=EYUHM&r=00553&e=MOROVIS,MOROVIS,8,5
135,2005,2006,2006-10-05,https://web.archive.org/web/20061005151722id_/http://www.bsnpr.com:80/jug05.asp?r3=00011&r2=462666RWXV&r=00004&e=,ARECIBO,26,539
136,2005,2006,2006-12-06,https://web.archive.org/web/20061206190144id_/http://www.bsnpr.com:80/jug05.asp?r3=00042&r2=462676RWYI&r=00057&e=,ARECIBO,13,8
143,2005,2006,2006-11-19,https://web.archive.org/web/20061119230613id_/http://www.bsnpr.com/jug05.asp?r2=462746RX1H&r3=00179&r=00045&e=COAMO,COAMO,10,6
144,2005,2006,2006-10-07,https://web.archive.org/web/20061007174742id_/http://www.bsnpr.com:80/jug05.asp?r3=00061&r2=462686RWYU&r=00086&e=,PONCE,21,134
148,2005,2006,2006-12-06,https://web.archive.org/web/20061206115703id_/http://www.bsnpr.com:80/jug05.asp?r3=KGAGM&r2=TLRPRTYNXO&r=00098&e=,PONCE,24,96
151,2005,2006,2007-02-24,https://web.archive.org/web/20070224021044id_/http://www.bsnpr.com:80/jug05.asp?r=00065,CAGUAS,27,468
158,2005,2006,2006-12-07,https://web.archive.org/web/20061207193751id_/http://www.bsnpr.com:80/jug05.asp?r3=VBIFB&r2=NXYQYWMCRL&r=00503&e=,HUMACAO,26,314
160,2005,2006,2006-12-06,https://web.archive.org/web/20061206190223id_/http://www.bsnpr.com:80/jug05.asp?r3=00190&r2=462756RX1S&r=00090&e=,COAMO,17,154
193,2005,2006,2006-11-19,https://web.archive.org/web/20061119230512id_/http://www.bsnpr.com/jug05.asp?r2=462736RX10&r3=00155&r=00026&e=COAMO,COAMO,20,364
217,2005,2006,2007-02-24,https://web.archive.org/web/20070224020905id_/http://www.bsnpr.com:80/jug05.asp?r=00021,HUMACAO,26,136
221,2005,2006,2007-02-24,https://web.archive.org/web/20070224202400id_/http://www.bsnpr.com:80/jug05.asp?r=00532,CAGUAS,7,15
236,2005,2006,2006-10-06,https://web.archive.org/web/20061006122443id_/http://www.bsnpr.com:80/jug05.asp?r3=00097&r2=462706RWZM&r=00540&e=,GUAYAMA,19,19
238,2005,2006,2006-12-08,https://web.archive.org/web/20061208064152id_/http://www.bsnpr.com:80/jug05.asp?r3=00211&r2=462766RX2D&r=00518&e=,GUAYNABO,21,41
251,2005,2006,2007-02-24,https://web.archive.org/web/20070224080941id_/http://www.bsnpr.com:80/jug05.asp?r=00514,CAGUAS,23,490
284,2005,2006,2006-12-08,https://web.archive.org/web/20061208064331id_/http://www.bsnpr.com:80/jug05.asp?r3=00107&r2=462706RWZV&r=00036&e=,BAYAMON,25,446
313,2005,2006,2006-10-09,https://web.archive.org/web/20061009100408id_/http://www.bsnpr.com:80/jug05.asp?r3=VUWKH&r2=QQUHMPOFDN&r=00061&e=,GUAYAMA,9,6
335,2005,2006,2006-12-06,https://web.archive.org/web/20061206115305id_/http://www.bsnpr.com:80/jug05.asp?r3=00033&r2=462676RWYB&r=00051&e=,HUMACAO,25,232
344,2005,2006,2006-10-06,https://web.archive.org/web/20061006122431id_/http://www.bsnpr.com:80/jug05.asp?r3=00039&r2=462676RWYF&r=00110&e=,SANTURCE,17,57
349,2005,2006,2006-12-08,https://web.archive.org/web/20061208171101id_/http://www.bsnpr.com:80/jug05.asp?r3=SXFEF&r2=KVRFULQVQD&r=00084&e=,GUAYNABO,26,472
357,2005,2006,2006-12-12,https://web.archive.org/web/20061212103031id_/http://www.bsnpr.com:80/jug05.asp?r3=00234&r2=462776RX2Y&r=00049&e=,PONCE,23,79
362,2005,2006,2006-12-11,https://web.archive.org/web/20061211222054id_/http://www.bsnpr.com:80/jug05.asp?r3=EWNQQ&r2=RMDNZQUHQC&r=00133&e=,SANTURCE,11,4
374,2005,2006,2006-11-19,https://web.archive.org/web/20061119230906id_/http://www.bsnpr.com/jug05.asp?r2=NUOZLWHHEX&r3=EMRKV&r=00513&e=CAGUAS,CAGUAS,25,445
385,2005,2006,2006-11-19,https://web.archive.org/web/20061119231416id_/http://www.bsnpr.com/jug05.asp?r2=462696RWZ9&r3=00078&r=00074&e=HUMACAO,HUMACAO,23,44
386,2005,2006,2006-12-06,https://web.archive.org/web/20061206190536id_/http://www.bsnpr.com:80/jug05.asp?r2=WOBFMNCQVQ&r3=WHQFE&r=00108&e=BAYAMON,BAYAMON,9,6
392,2005,2006,2006-06-18,https://web.archive.org/web/20060618110626id_/http://www.bsnpr.com:80/jug05.asp?r=00009,BAYAMON,26,227
401,2005,2006,2007-02-24,https://web.archive.org/web/20070224202310id_/http://www.bsnpr.com:80/jug05.asp?r=00572,GUAYNABO,5,114
445,2005,2006,2007-02-24,https://web.archive.org/web/20070224020855id_/http://www.bsnpr.com:80/jug05.asp?r=00519,CAGUAS,25,274
462,2005,2006,2006-12-15,https://web.archive.org/web/20061215015444id_/http://www.bsnpr.com:80/jug05.asp?r3=00103&r2=462706RWZS&r=00033&e=,COAMO,14,11
498,2005,2006,2006-09-09,https://web.archive.org/web/20060909091946id_/http://www.bsnpr.com:80/jug05.asp?r2=462756RX1T&r3=00191&r=00091&e=PONCE,PONCE,15,179
502,2005,2006,2006-12-11,https://web.archive.org/web/20061211011936id_/http://www.bsnpr.com:80/jug05.asp?r3=00038&r2=462676RWYE&r=00018&e=,SANTURCE,24,135
509,2005,2006,2007-03-28,https://web.archive.org/web/20070328182250id_/http://www.bsnpr.com:80/jug05.asp?r2=462796RX3K&r3=00261&r=00007&e=ARECIBO,ARECIBO,23,80
524,2005,2006,2006-11-19,https://web.archive.org/web/20061119231102id_/http://www.bsnpr.com/jug05.asp?r2=MUBFMJYWYX&r3=ZFGEV&r=00564&e=MOROVIS,MOROVIS,23,348
555,2005,2006,2006-10-09,https://web.archive.org/web/20061009100142id_/http://www.bsnpr.com:80/jug05.asp?r3=00206&r2=462766RX28&r=00099&e=,ARECIBO,22,52
574,2005,2006,2006-12-08,https://web.archive.org/web/20061208171514id_/http://www.bsnpr.com:80/jug05.asp?r3=00233&r2=462776RX2X&r=00002&e=,ARECIBO,26,517
624,2005,2006,2006-10-09,https://web.archive.org/web/20061009095710id_/http://www.bsnpr.com:80/jug05.asp?r3=00262&r2=462796RX3L&r=00100&e=,GUAYAMA,26,370
630,2005,2006,2006-11-19,https://web.archive.org/web/20061119225608id_/http://www.bsnpr.com/jug05.asp?r2=GSPOPSUTYD&r3=LYJAY&r=00539&e=GUAYNABO,GUAYNABO,10,30
647,2005,2006,2007-04-04,https://web.archive.org/web/20070404080316id_/http://www.bsnpr.com:80/jug05.asp?r3=00247&r2=462786RX39&r=00560&e=,GUAYNABO,7,4
688,2005,2006,2006-11-19,https://web.archive.org/web/20061119230852id_/http://www.bsnpr.com/jug05.asp?r2=462706RWZT&r3=00105&r=00035&e=CAGUAS,CAGUAS,14,34
690,2005,2006,2006-11-19,https://web.archive.org/web/20061119225616id_/http://www.bsnpr.com/jug05.asp?r2=KUTZMIBQHD&r3=SCCBZ&r=00144&e=GUAYNABO,GUAYNABO,8,26
697,2005,2006,2006-11-19,https://web.archive.org/web/20061119231009id_/http://www.bsnpr.com/jug05.asp?r2=462716RX02&r3=00116&r=00038&e=CAGUAS,CAGUAS,21,174
742,2005,2006,2007-04-04,https://web.archive.org/web/20070404075051id_/http://www.bsnpr.com:80/jug05.asp?r3=SQUAX&r2=OLQUXXXGVB&r=00096&e=,GUAYAMA,3,8
